service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10-1-127,1,1,1,1,1,1,1,20220321,20220828
11-1-127,1,1,1,1,1,1,1,20220321,20220828
1-1-127,1,1,1,1,1,1,1,20220321,20220828
12-1-127,1,1,1,1,1,1,1,20220321,20220828
13-1-127,1,1,1,1,1,1,1,20220321,20220828
14-1-127,1,1,1,1,1,1,1,20220321,20220828
15-1-127,1,1,1,1,1,1,1,20220321,20220828
16-1-127,1,1,1,1,1,1,1,20220321,20220828
17-1-127,1,1,1,1,1,1,1,20220321,20220828
18-1-127,1,1,1,1,1,1,1,20220321,20220828
19-1-127,1,1,1,1,1,1,1,20220321,20220828
20-1-127,1,1,1,1,1,1,1,20220321,20220828
21-1-127,1,1,1,1,1,1,1,20220321,20220828
2-1-127,1,1,1,1,1,1,1,20220321,20220828
22-1-127,1,1,1,1,1,1,1,20220321,20220828
23-1-127,1,1,1,1,1,1,1,20220321,20220828
24-1-127,1,1,1,1,1,1,1,20220321,20220828
25-1-127,1,1,1,1,1,1,1,20220321,20220828
26-1-127,1,1,1,1,1,1,1,20220321,20220828
27-1-127,1,1,1,1,1,1,1,20220321,20220828
28-1-127,1,1,1,1,1,1,1,20220321,20220828
29-1-127,1,1,1,1,1,1,1,20220321,20220828
30-1-127,1,1,1,1,1,1,1,20220321,20220828
3-1-127,1,1,1,1,1,1,1,20220321,20220828
32-1-127,1,1,1,1,1,1,1,20220321,20220828
33-1-127,1,1,1,1,1,1,1,20220321,20220828
34-1-127,1,1,1,1,1,1,1,20220321,20220828
35-1-127,1,1,1,1,1,1,1,20220321,20220828
36-1-127,1,1,1,1,1,1,1,20220321,20220828
37-1-127,1,1,1,1,1,1,1,20220321,20220828
38-1-127,1,1,1,1,1,1,1,20220321,20220828
39-1-127,1,1,1,1,1,1,1,20220321,20220828
40-1-127,1,1,1,1,1,1,1,20220321,20220828
41-1-127,1,1,1,1,1,1,1,20220321,20220828
4-1-127,1,1,1,1,1,1,1,20220321,20220828
42-1-127,1,1,1,1,1,1,1,20220321,20220828
43-1-127,1,1,1,1,1,1,1,20220321,20220828
44-1-127,1,1,1,1,1,1,1,20220321,20220828
45-1-127,1,1,1,1,1,1,1,20220321,20220828
46-1-127,1,1,1,1,1,1,1,20220321,20220828
47-1-127,1,1,1,1,1,1,1,20220321,20220828
48-1-127,1,1,1,1,1,1,1,20220321,20220828
49-1-127,1,1,1,1,1,1,1,20220321,20220828
50-1-127,1,1,1,1,1,1,1,20220321,20220828
5-1-127,1,1,1,1,1,1,1,20220321,20220828
6-1-127,1,1,1,1,1,1,1,20220321,20220828
7-1-127,1,1,1,1,1,1,1,20220321,20220828
8-1-127,1,1,1,1,1,1,1,20220321,20220828
9-1-127,1,1,1,1,1,1,1,20220321,20220828
